63-Eu-151(n,&gamma;) ENDF/B-VII.1
32.4329,6.56256
32.583,5.90369
32.7446,5.66205
32.756,5.66148
32.8771,5.81332
32.9679,6.19389
33.0439,6.85558
33.101,7.80097
33.141,8.94213
33.1753,10.4969
33.2061,12.6268
33.2344,15.4657
33.2627,19.4414
33.2929,25.2548
33.3272,33.9906
33.3729,48.7378
33.4369,70.3375
33.4702,78.3567
33.5055,81.9855
33.51,82.0324
33.5447,79.2039
33.5808,71.0337
33.6848,36.8885
33.7191,27.8461
33.7491,21.8069
33.7782,17.5071
33.8076,14.4633
33.8384,12.3336
33.8744,10.8013
33.9053,10.0254
33.9464,9.47234
34.0059,9.26211
34.0655,9.51477
34.1386,10.4332
34.1928,11.7745
34.2362,13.5998
34.2738,16.1133
34.3098,19.7363
34.3406,24.1133
34.3737,30.354
34.4194,41.5132
34.5038,64.7451
34.549,73.3554
34.5901,76.5173
34.5974,76.6217
34.6796,73.9105
34.7104,75.2981
34.7366,80.1489
34.764,90.5559
34.7868,104.615
34.8119,126.827
34.8393,160.019
34.8735,214.871
34.9327,334.801
34.9843,434.79
35.0237,481.956
35.0494,491.342
35.08,478.276
35.1133,437.012
35.1696,327.511
35.2259,212.47
35.2611,154.26
35.2875,120.021
35.3139,93.5829
35.3409,73.5599
35.3644,60.8347
35.3925,49.983
35.4207,42.6778
35.4535,37.255
35.4817,34.4402
35.5239,32.3879
35.538,32.158
35.5772,32.5585
35.6262,35.3302
35.6654,39.9934
35.6948,45.7011
35.7236,54.1234
35.7489,64.8623
35.7741,80.063
35.7993,101.325
35.8224,127.765
35.8471,164.939
35.8718,212.8
35.9042,292.863
35.949,431.08
36.0118,635.477
36.0505,725.648
36.0869,759.233
36.0898,759.414
36.1229,735.067
36.162,651.556
36.266,321.788
36.2999,233.673
36.3288,175.591
36.3542,136.559
36.3797,107.554
36.4023,88.6847
36.4271,73.9038
36.4503,64.2598
36.4814,56.0934
36.5124,51.7985
36.5434,50.4176
36.5796,52.0559
36.6067,55.7974
36.6383,63.7157
36.6655,74.7108
36.6881,87.9651
36.7145,109.81
36.741,140.444
36.7675,181.967
36.7969,242.803
36.8279,324.379
36.8829,503.098
36.9401,685.673
36.9778,764.241
37.0097,786.723
37.0469,756.219
37.0884,660.229
37.19,330.8
37.2244,241.207
37.2522,185.02
37.2788,144.395
37.3044,115.777
37.33,95.7576
37.352,84.163
37.3739,76.7826
37.4002,72.637
37.4097,72.2869
37.4311,73.649
37.4548,78.7501
37.4785,87.9858
37.5023,101.937
37.5296,124.685
37.5604,160.079
37.5937,210.036
37.6518,319.79
37.7076,423.651
37.7439,469.123
37.7794,484.69
37.818,465.154
37.8571,411.621
37.9651,203.003
38.0014,146.775
38.0304,111.689
38.0586,85.7903
38.0847,67.8922
38.1108,54.6873
38.1402,44.0744
38.1717,36.2497
38.2073,30.3122
38.2429,26.336
38.2903,22.8588
38.3497,20.2058
38.4136,18.577
38.4774,17.7805
38.52,17.6149
38.5926,17.9597
38.6652,19.1977
38.7344,21.5912
38.7805,24.3103
38.8266,28.6467
38.8635,34.0661
38.898,41.64
38.9292,51.4468
38.9603,65.1127
38.992,84.14
39.0254,111.07
39.0571,144.19
39.0934,192.141
39.1371,264.341
39.2111,414.883
39.2817,553.781
39.3259,605.287
39.3502,613.839
39.391,591.82
39.436,519.555
39.5473,259.332
39.5818,194.973
39.6096,155.462
39.6374,127.219
39.6595,112.386
39.6856,102.658
39.7074,100.347
39.7338,103.646
39.7658,115.002
39.8159,143.101
39.8799,179.882
39.9232,192.545
39.9352,193.298
39.9688,188.459
40.0081,171.061
40.0771,123.001
40.1322,85.2785
40.1682,66.0615
40.1998,53.4985
40.2283,45.2749
40.2603,38.9747
40.3004,34.3409
40.3484,31.8805
40.3884,31.4065
40.4605,32.6852
40.5496,36.9803
40.6238,42.9599
40.6981,52.0218
40.7571,62.6512
40.8063,75.2709
40.8456,89.3017
40.8835,108.093
40.9187,132.722
40.9503,164.057
40.9777,201.539
