20-Ca-44(n,&gamma;) ENDF/B-VII.1
102945.0,0.0442055
102946.0,0.0535849
102949.0,0.0679511
102950.0,0.0852182
102953.0,0.111207
102955.0,0.145883
102957.0,0.195574
102959.0,0.258063
102962.0,0.359974
102966.0,0.531333
102973.0,0.838014
102976.0,0.94723
102980.0,0.992089
102980.0,0.991957
102983.0,0.954318
102987.0,0.839701
102997.0,0.388612
103000.0,0.28553
103002.0,0.214582
103005.0,0.160478
103007.0,0.123641
103009.0,0.0954622
103010.0,0.0761766
103012.0,0.0607624
103014.0,0.0492872
103017.0,0.0395802
103019.0,0.0326888
103022.0,0.0267685
103024.0,0.0229741
103028.0,0.0193912
103032.0,0.0163163
103037.0,0.0137157
103044.0,0.0114533
103052.0,0.00964854
103061.0,0.00825015
103075.0,0.0069745
103089.0,0.00616217
103106.0,0.00547719
103127.0,0.0049722
103154.0,0.0045477
103197.0,0.00415158
103241.0,0.00391453
103338.0,0.00360411
103655.0,0.0030971
104222.0,0.0025125
104789.0,0.00204947
105544.0,0.00158809
106174.0,0.0013065
106803.0,0.0010893
107650.0,8.74402E-4
108542.0,7.14781E-4
109463.0,5.92476E-4
110517.0,4.9456E-4
111833.0,4.11683E-4
112887.0,3.64115E-4
114203.0,3.22292E-4
115784.0,2.88578E-4
116837.0,2.74499E-4
119528.0,2.59092E-4
120067.0,2.58372E-4
123297.0,2.7437E-4
126005.0,3.13067E-4
127948.0,3.605E-4
129470.0,4.17035E-4
130172.0,4.6331E-4
130434.0,5.00534E-4
130567.0,5.4007E-4
130659.0,5.92323E-4
130729.0,6.70228E-4
130777.0,7.66211E-4
130808.0,8.71371E-4
130835.0,0.00101243
130857.0,0.00120316
130876.0,0.00144136
130890.0,0.00172562
130903.0,0.00209681
130914.0,0.0025652
130922.0,0.00304239
130929.0,0.00366201
130935.0,0.00440718
130941.0,0.00527461
130945.0,0.00633021
130949.0,0.00746509
130952.0,0.00907535
130955.0,0.011129
130958.0,0.013716
130960.0,0.0171801
130963.0,0.0214638
130965.0,0.0272066
130967.0,0.0349627
130969.0,0.0453
130971.0,0.0588495
130974.0,0.0778034
130976.0,0.102687
130979.0,0.139307
130983.0,0.200471
130992.0,0.372765
130996.0,0.419608
131000.0,0.438288
131000.0,0.438112
131003.0,0.425378
131007.0,0.385117
131012.0,0.289453
131019.0,0.177909
131022.0,0.125864
131025.0,0.0927555
131027.0,0.0688327
131030.0,0.0523877
131032.0,0.0398528
131034.0,0.0305552
131036.0,0.0242562
131038.0,0.0195293
131041.0,0.0155697
131043.0,0.0128091
131046.0,0.0104042
131049.0,0.00870837
