74-W-186(n,&gamma;) ENDF/B-VII.1
959.594,5.20956
959.908,6.37579
960.207,7.90767
960.474,9.80913
960.699,12.0034
960.92,14.9698
961.119,18.6653
961.319,23.7536
961.497,29.903
961.696,39.1014
961.889,50.6499
962.174,72.3049
962.567,104.413
962.806,117.813
963.001,121.541
963.194,117.905
963.433,104.591
964.04,55.7927
964.254,41.9827
964.446,32.3716
964.624,25.6157
964.824,20.0093
965.023,15.9442
965.244,12.6983
965.469,10.3144
965.722,8.35822
965.996,6.81269
966.306,5.53766
966.648,4.51053
967.047,3.6398
967.46,2.98116
967.959,2.4006
968.5,1.94424
969.099,1.57716
969.733,1.29178
970.46,1.05147
971.308,0.848269
972.262,0.682785
973.26,0.556898
974.364,0.454642
975.611,0.370144
977.107,0.296998
978.817,0.237624
980.67,0.191878
982.665,0.156576
984.945,0.12731
987.51,0.103752
990.359,0.0850586
993.779,0.069259
997.769,0.0565859
1001.9,0.0476072
1006.32,0.0409863
1012.02,0.0354665
1017.72,0.0322941
1024.27,0.0309243
1025.13,0.0309104
1030.26,0.0317316
1034.46,0.0336363
1039.52,0.0381582
1043.6,0.0444459
1047.1,0.053063
1049.72,0.062735
1052.27,0.0763894
1054.31,0.092287
1056.06,0.111495
1057.59,0.1349
1059.12,0.168023
1060.36,0.206064
1061.53,0.256366
1062.57,0.319981
1063.46,0.397539
1064.26,0.495583
1064.9,0.603364
1065.48,0.737586
1066.06,0.924541
1066.56,1.14645
1066.97,1.40552
1067.33,1.71521
1067.69,2.13803
1068.0,2.6455
1068.27,3.27175
1068.49,3.97644
1068.7,4.9285
1068.87,6.03793
1069.02,7.30782
1069.16,8.99556
1069.29,11.0471
1069.42,13.7971
1069.54,17.4704
1069.67,22.3187
1069.82,29.606
1069.98,40.3258
1070.17,55.9698
1070.62,98.3949
1070.84,111.527
1071.0,114.873
1071.16,111.801
1071.36,99.9756
1071.68,70.5727
1071.94,46.6638
1072.11,34.4796
1072.25,25.9699
1072.39,19.7903
1072.51,15.7591
1072.65,12.3147
1072.78,9.94026
1072.91,8.166
1073.07,6.50948
1073.24,5.26326
1073.45,4.23888
1073.67,3.46036
1073.92,2.8091
1074.21,2.28723
1074.56,1.82895
1074.91,1.49964
1075.31,1.2194
1075.81,0.975386
1076.32,0.794826
1076.92,0.641061
1077.56,0.523341
1078.29,0.425777
1079.18,0.340734
1080.07,0.280132
1081.06,0.231587
1082.33,0.186701
1083.75,0.152103
1085.28,0.126246
1086.81,0.107999
1088.49,0.0938136
1090.82,0.0808266
1093.15,0.0731382
1095.48,0.0692875
1096.94,0.068528
1099.12,0.0697492
1101.82,0.0756309
1103.94,0.0846139
1106.05,0.0993081
1107.63,0.116274
1109.21,0.141366
1110.44,0.169765
1111.5,0.203861
1112.56,0.252048
1113.49,0.313476
1114.31,0.39054
1114.96,0.475431
1115.58,0.587651
1116.1,0.721197
1116.57,0.88189
1117.0,1.09007
1117.36,1.33435
1117.69,1.63264
1117.99,2.0125
1118.25,2.4819
1118.48,3.05494
1118.67,3.72619
1118.84,4.5333
1118.98,5.53454
1119.13,6.94098
1119.26,8.76525
1119.38,10.9355
1119.5,13.8351
1119.61,17.4511
1119.73,22.646
1119.87,30.3899
1120.04,41.8386
1120.25,60.8548
1120.6,94.5929
1120.77,106.669
1120.94,112.893
1121.0,113.3
1121.17,109.64
1121.34,99.2766
1121.62,73.5074
1121.91,46.2531
1122.07,33.9066
1122.22,25.1399
1122.35,19.0215
1122.48,14.5127
1122.6,11.4449
1122.72,9.04632
1122.85,7.17565
1122.98,5.82344
1123.13,4.73938
1123.3,3.84613
1123.47,3.1852
1123.69,2.61228
1123.92,2.15193
1124.22,1.73106
1124.52,1.42754
1124.87,1.1658
1125.28,0.944527
1125.75,0.762733
1126.26,0.619611
1126.89,0.494362
1127.6,0.396076
1128.39,0.318253
1129.21,0.260644
1130.21,0.210533
1131.23,0.173694
1132.46,0.14209
1133.9,0.116252
1135.54,0.0958102
1137.13,0.0819723
1139.24,0.0691142
1141.21,0.0609087
1144.09,0.0532121
1146.88,0.0489454
1150.94,0.046649
1155.0,0.0481842
1158.6,0.0528419
1161.98,0.0610287
1164.8,0.0719879
1167.05,0.0849174
1169.31,0.103616
1171.22,0.126611
1173.03,0.157625
1174.49,0.193675
1175.84,0.240657
1177.03,0.298702
1178.01,0.365766
1178.92,0.45091
1179.73,0.555961
1180.46,0.687536
1181.06,0.83488
1181.7,1.05042
1182.22,1.3005
1182.7,1.61437
1183.09,1.97456
1183.48,2.47502
1183.82,3.08007
1184.09,3.74909
1184.37,4.70177
1184.6,5.8138
1184.81,7.30299
1185.0,9.09014
1185.16,11.2256
1185.34,14.375
1185.51,18.3539
1185.68,23.968
1185.88,32.204
1186.17,46.9369
1186.55,68.4647
1186.76,76.7814
1186.95,80.4216
1187.0,80.5699
1187.19,78.1632
1187.41,69.8945
1188.06,34.6996
1188.26,25.7134
1188.44,19.6906
1188.6,15.5757
1188.76,12.4352
1188.92,10.0637
1189.08,8.16479
1189.29,6.50985
1189.49,5.31837
1189.73,4.31146
1190.0,3.48603
1190.3,2.82006
1190.66,2.25681
1191.06,1.8176
1191.51,1.45835
1191.98,1.18618
1192.52,0.960184
1193.1,0.785186
1193.81,0.628774
1194.55,0.510461
1195.45,0.407261
1196.44,0.326939
1197.56,0.261537
1198.78,0.211265
1200.13,0.17085
1201.73,0.136725
1203.51,0.109905
1205.31,0.0902102
1207.56,0.0724933
1210.1,0.0584094
1212.92,0.0473241
1216.07,0.0385007
1219.45,0.0317522
1223.51,0.0259288
1228.24,0.0211479
1233.65,0.0173469
1240.19,0.0141446
1246.5,0.0119819
1255.15,0.00991007
1267.21,0.00804828
1277.11,0.00703202
1288.98,0.00617746
1304.81,0.00548126
1320.65,0.00511484
1336.48,0.00501774
1354.29,0.00526215
1364.19,0.00563245
1372.1,0.00612848
1380.02,0.00688046
1385.34,0.00774049
1390.81,0.00903235
1394.92,0.0106073
1397.65,0.0121819
1400.73,0.0148052
1402.78,0.0174673
1404.49,0.0206504
1406.22,0.025299
1407.52,0.0303704
1408.63,0.0364951
1409.7,0.044901
1410.58,0.0548202
1411.32,0.0664042
1412.01,0.0812426
1412.63,0.100296
1413.17,0.123821
1413.64,0.152111
1414.05,0.186611
1414.4,0.227585
1414.72,0.27993
1414.96,0.334846
1415.21,0.412643
1415.39,0.496716
1415.52,0.587067
1415.66,0.716278
1415.78,0.880358
1415.88,1.07903
1415.99,1.3636
1416.07,1.68952
1416.16,2.12289
1416.25,2.69564
1416.34,3.44597
1416.43,4.54105
1416.53,5.97503
1416.64,8.02505
1416.75,10.9222
1416.88,14.8622
1417.03,20.7636
1417.24,30.9387
1417.58,48.7555
1417.79,56.7816
1417.98,59.5821
1418.0,59.6062
1418.17,57.6499
1418.35,51.847
1418.64,37.6124
1418.92,23.1636
1419.09,16.1956
1419.22,11.7862
1419.33,8.7002
1419.44,6.49811
1419.54,4.9127
1419.64,3.72868
1419.73,2.83557
1419.82,2.24433
1419.91,1.75933
1420.0,1.41619
1420.1,1.12236
1420.2,0.911581
1420.32,0.740892
1420.45,0.607896
1420.61,0.50025
1420.8,0.409466
1421.01,0.343221
1421.25,0.286192
1421.54,0.236417
1421.91,0.19123
1422.32,0.155741
1422.75,0.128855
1423.29,0.104303
1423.92,0.0845967
1424.62,0.0690237
1425.44,0.0563462
1426.41,0.0459958
1427.5,0.038106
1428.6,0.0325937
1429.88,0.0281249
1431.81,0.0238231
1433.42,0.0215077
1435.88,0.0193817
1439.97,0.0179879
1441.6,0.0178669
1446.52,0.0186694
1451.43,0.0208735
1455.87,0.0241875
1459.26,0.0280797
1461.59,0.0320719
1463.74,0.03759
1464.95,0.0427765
1465.75,0.0480754
1466.46,0.0556311
1466.87,0.0627626
1467.17,0.0714882
1467.36,0.0807325
1467.51,0.0930379
1467.63,0.107732
1467.72,0.12594
1467.82,0.153578
1467.91,0.186869
1467.99,0.232975
1468.07,0.296387
1468.16,0.382779
1468.24,0.499075
1468.32,0.653504
1468.4,0.855488
1468.49,1.14011
1468.59,1.53881
1468.69,2.04982
1468.8,2.77743
1468.92,3.80759
1469.08,5.43284
1469.34,8.78052
1469.6,12.0784
1469.8,13.8867
1469.99,14.5451
1470.0,14.5477
1470.17,14.0681
1470.36,12.4976
1470.65,8.87151
1470.92,5.51457
1471.07,3.84467
1471.21,2.7532
1471.31,2.03508
1471.41,1.53227
1471.51,1.14239
1471.59,0.873756
1471.68,0.666201
1471.76,0.508553
1471.85,0.390709
1471.93,0.303899
1472.02,0.24078
1472.11,0.192656
1472.19,0.162459
1472.29,0.136183
1472.41,0.115918
1472.55,0.101671
1472.75,0.0904794
1473.0,0.0834187
1473.32,0.07826
1473.96,0.0734966
1474.61,0.0721746
1475.85,0.0741781
1477.7,0.082505
1479.84,0.0979473
1481.86,0.119157
1483.6,0.144419
1485.2,0.176535
1486.65,0.215894
1487.92,0.26325
1489.06,0.320125
1490.15,0.394831
1491.21,0.496435
1492.12,0.618199
1492.91,0.765698
1493.65,0.958446
1494.31,1.19912
1494.86,1.47413
1495.38,1.84379
1495.84,2.28777
1496.24,2.83797
1496.59,3.49011
1496.91,4.32787
1497.2,5.37442
1497.46,6.70621
1497.69,8.30871
1497.92,10.4516
1498.15,13.4257
1498.38,17.3502
1498.62,22.9659
1498.95,32.5554
1499.5,49.8114
1499.78,55.6006
1500.0,57.1923
1500.25,55.2506
1500.5,49.9631
