71-Lu-176(n,&gamma;) ENDF/B-VII.1
64.5122,27.9069
64.5458,31.4049
64.5738,36.3953
64.6019,43.7116
64.6299,53.8629
64.661,69.0631
64.6942,90.58
64.7345,124.391
64.7915,184.026
64.8674,266.27
64.9182,303.511
64.9596,313.711
65.0022,302.592
65.0478,269.348
65.1368,172.667
65.1902,117.554
65.2258,87.8226
65.259,65.8968
65.2875,51.3303
65.3155,40.3371
65.3429,32.1881
65.3737,25.4806
65.4046,20.7365
65.4394,17.0718
65.4767,14.531
65.514,12.9834
65.5606,12.0457
65.5967,11.9037
65.6598,12.5553
65.7724,14.6941
65.8229,15.0403
65.8792,14.4779
65.9436,12.7196
66.0664,8.47464
66.1273,6.98176
66.1757,6.21339
66.214,5.82557
66.2906,5.45036
66.3582,5.38543
66.4702,5.56301
66.6036,6.09774
66.737,7.01905
66.8618,8.39408
66.9582,10.0007
67.0386,11.9334
67.1151,14.609
67.1697,17.3537
67.2211,21.0175
67.2674,25.8259
67.306,31.6517
67.3369,38.1706
67.369,47.5531
67.3979,59.1643
67.4269,74.8412
67.4551,95.2633
67.486,124.723
67.5169,163.105
67.5538,222.229
67.5959,306.911
67.7123,580.88
67.7642,666.249
67.8095,692.373
67.8491,672.568
67.8949,605.141
67.9656,444.65
68.035,282.545
68.0761,204.5
68.1121,150.878
68.1443,114.145
68.1751,87.4819
68.206,67.6976
68.2369,53.2573
68.2677,42.7995
68.2986,35.2167
68.3371,28.5176
68.3757,23.8557
68.4271,19.585
68.4889,16.1806
68.5506,13.8613
68.6329,11.7604
68.7357,10.0902
68.8386,9.07428
68.9671,8.4009
69.0957,8.20771
69.2552,8.52933
69.4146,9.51303
69.5209,10.6478
69.639,12.5692
69.7401,15.0714
69.8251,18.1725
69.8939,21.7878
69.9512,26.0524
70.0065,31.9923
70.047,38.2293
70.0874,47.0853
70.1239,58.5405
70.1576,73.5746
70.1879,92.2725
70.2169,116.29
70.2439,145.505
70.2763,191.303
70.309,251.517
70.3461,338.363
70.3936,477.02
70.5056,841.351
70.552,944.839
70.6,983.973
70.641,954.85
70.689,855.428
70.7679,605.281
70.8323,400.433
70.8731,294.952
70.9075,224.659
70.9399,173.574
70.9717,135.912
