45-Rh-103(n,&gamma;) ENDF/B-VII.1
274.868,2.81079
275.157,2.2751
275.495,1.82903
275.861,1.4854
276.255,1.21856
276.692,1.00374
277.185,0.828023
277.804,0.671999
278.494,0.552262
279.184,0.468995
280.047,0.398594
280.91,0.353526
281.946,0.323964
282.72,0.317348
283.47,0.324209
284.22,0.34723
284.924,0.390422
285.538,0.455133
286.049,0.541233
286.458,0.645109
286.816,0.777801
287.123,0.941988
287.378,1.13617
287.617,1.39335
287.805,1.67801
287.975,2.0402
288.117,2.46767
288.242,3.00744
288.333,3.56188
288.424,4.33877
288.503,5.30036
288.577,6.54555
288.649,8.21621
288.72,10.5202
288.784,13.2764
288.853,17.2575
288.921,22.4106
288.996,29.7877
289.078,40.1879
289.169,54.8417
289.287,78.4417
289.565,140.13
289.687,158.992
289.8,165.778
289.809,165.818
289.917,160.466
290.037,143.319
290.23,101.437
290.394,65.4604
290.496,47.008
290.583,34.6045
290.662,25.7099
290.733,19.6423
290.801,15.1416
290.869,11.7417
290.937,9.2092
291.009,7.25977
291.08,5.84555
291.162,4.69158
291.244,3.87399
291.333,3.23781
291.446,2.66138
291.583,2.18145
291.742,1.78955
291.94,1.44639
292.162,1.17819
292.401,0.971858
292.679,0.79898
293.003,0.655829
293.401,0.532793
293.866,0.433835
294.344,0.363453
294.9,0.305813
295.582,0.257455
296.4,0.219041
297.446,0.188043
298.536,0.168676
299.991,0.155303
301.39,0.151366
302.958,0.154943
304.857,0.170202
306.507,0.195199
307.993,0.231297
309.093,0.270747
310.194,0.32792
310.964,0.387313
311.336,0.429647
311.616,0.482238
311.773,0.533029
311.922,0.610043
312.054,0.714722
312.208,0.89261
312.395,1.18704
312.664,1.63775
312.824,1.79709
312.919,1.82295
313.066,1.75664
313.286,1.48894
313.528,1.1638
313.66,1.03777
313.825,0.94601
313.99,0.914448
314.211,0.931509
314.568,1.02908
315.05,1.23353
315.531,1.52615
315.966,1.90224
316.346,2.36781
316.689,2.95936
316.976,3.65796
317.223,4.48698
317.453,5.56346
317.659,6.92282
317.832,8.54702
317.98,10.5351
318.108,13.0183
318.215,15.9859
318.311,19.7691
318.387,23.8914
318.47,29.8893
318.552,38.1075
318.624,47.7734
